,content,topic
0,The following sections describe the standard types that are built into the interpreter,Built-in Types
1," The principal built-in types are numerics, sequences, mappings, classes, instances and exceptions",Built-in Types
2, Some collection classes are mutable,Built-in Types
3,"  The methods that add, subtract, or rearrange their members in place, and don’t return a specific item, never return the collection instance itself but None",Built-in Types
4," Some operations are supported by several object types; in particular, practically all objects can be compared for equality, tested for truth value, and converted to a string (with the repr() function or the slightly different str() function)",Built-in Types
5,  The latter function is implicitly used when an object is written by the print() function,Built-in Types
6,,Built-in Types
7," Any object can be tested for truth value, for use in an if or while condition or as operand of the Boolean operations below",Built-in Types
8," By default, an object is considered true unless its class defines either a __bool__() method that returns False or a __len__() method that returns zero, when called with the object",Built-in Types
9," 1  Here are most of the built-in objects considered false: Operations and built-in functions that have a Boolean result always return 0 or False for false and 1 or True for true, unless otherwise stated",Built-in Types
10, (Important exception: the Boolean operations or and and always return one of their operands,Built-in Types
11,),Built-in Types
12," These are the Boolean operations, ordered by ascending priority: Notes: This is a short-circuit operator, so it only evaluates the second argument if the first one is false",Built-in Types
13," This is a short-circuit operator, so it only evaluates the second argument if the first one is true",Built-in Types
14," not has a lower priority than non-Boolean operators, so not a == b is interpreted as not (a == b), and a == not b is a syntax error",Built-in Types
15,,Built-in Types
16, There are eight comparison operations in Python,Built-in Types
17,  They all have the same priority (which is higher than that of the Boolean operations),Built-in Types
18,"  Comparisons can be chained arbitrarily; for example, x < y <= z is equivalent to x < y and y <= z, except that y is evaluated only once (but in both cases z is not evaluated at all when x < y is found to be false)",Built-in Types
19," This table summarizes the comparison operations: Objects of different types, except different numeric types, never compare equal",Built-in Types
20," The == operator is always defined but for some object types (for example, class objects) is equivalent to is",Built-in Types
21," The <, <=, > and >= operators are only defined where they make sense; for example, they raise a TypeError exception when one of the arguments is a complex number",Built-in Types
22, Non-identical instances of a class normally compare as non-equal unless the class defines the __eq__() method,Built-in Types
23," Instances of a class cannot be ordered with respect to other instances of the same class, or other types of object, unless the class defines enough of the methods __lt__(), __le__(), __gt__(), and __ge__() (in general, __lt__() and __eq__() are sufficient, if you want the conventional meanings of the comparison operators)",Built-in Types
24, The behavior of the is and is not operators cannot be customized; also they can be applied to any two objects and never raise an exception,Built-in Types
25," Two more operations with the same syntactic priority, in and not in, are supported by types that are iterable or implement the __contains__() method",Built-in Types
26,,Built-in Types
27," There are three distinct numeric types: integers, floating point numbers, and complex numbers",Built-in Types
28,"  In addition, Booleans are a subtype of integers",Built-in Types
29,  Integers have unlimited precision,Built-in Types
30,  Floating point numbers are usually implemented using double in C; information about the precision and internal representation of floating point numbers for the machine on which your program is running is available in sys,Built-in Types
31,float_info,Built-in Types
32,"  Complex numbers have a real and imaginary part, which are each a floating point number",Built-in Types
33,"  To extract these parts from a complex number z, use z",Built-in Types
34,real and z,Built-in Types
35,imag,Built-in Types
36, (The standard library includes the additional numeric types fractions,Built-in Types
37,"Fraction, for rationals, and decimal",Built-in Types
38,"Decimal, for floating-point numbers with user-definable precision",Built-in Types
39,) Numbers are created by numeric literals or as the result of built-in functions and operators,Built-in Types
40,"  Unadorned integer literals (including hex, octal and binary numbers) yield integers",Built-in Types
