,content,topic
0, The built-in string class provides the ability to do complex variable substitutions and value formatting via the format() method described in PEP 3101,String
1,  The Formatter class in the string module allows you to create and customize your own string formatting behaviors using the same implementation as the built-in format() method,String
2, The str,String
3,"format() method and the Formatter class share the same syntax for format strings (although in the case of Formatter, subclasses can define their own format string syntax)",String
4,"  The syntax is related to that of formatted string literals, but it is less sophisticated and, in particular, does not support arbitrary expressions",String
5, Format strings contain replacement fields surrounded by curly braces {},String
6," Anything that is not contained in braces is considered literal text, which is copied unchanged to the output",String
7,"  If you need to include a brace character in the literal text, it can be escaped by doubling: {{ and }}",String
8," The grammar for a replacement field is as follows: In less formal terms, the replacement field can start with a field_name that specifies the object whose value is to be formatted and inserted into the output instead of the replacement field",String
9," The field_name is optionally followed by a  conversion field, which is preceded by an exclamation point '!', and a format_spec, which is preceded by a colon ':'",String
10,  These specify a non-default format for the replacement value,String
11, See also the Format Specification Mini-Language section,String
12, The field_name itself begins with an arg_name that is either a number or a keyword,String
13,"  If its a number, it refers to a positional argument, and if its a keyword, it refers to a named keyword argument",String
14,"  If the numerical arg_names in a format string are 0, 1, 2, in sequence, they can all be omitted (not just some) and the numbers 0, 1, 2,  will be automatically inserted in that order",String
15," Because arg_name is not quote-delimited, it is not possible to specify arbitrary dictionary keys (e",String
16,g,String
17,", the strings '10' or ':-]') within a format string",String
18, The arg_name can be followed by any number of index or attribute expressions,String
19, An expression of the form ',String
20,"name' selects the named attribute using getattr(), while an expression of the form '[index]' does an index lookup using __getitem__()",String
21, Some simple format string examples: The conversion field causes a type coercion before formatting,String
22,"  Normally, the job of formatting a value is done by the __format__() method of the value itself",String
23,"  However, in some cases it is desirable to force a type to be formatted as a string, overriding its own definition of formatting",String
24,"  By converting the value to a string before calling __format__(), the normal formatting logic is bypassed",String
25," Three conversion flags are currently supported: '!s' which calls str() on the value, '!r' which calls repr() and '!a' which calls ascii()",String
26," Some examples: The format_spec field contains a specification of how the value should be presented, including such details as field width, alignment, padding, decimal precision and so on",String
27,  Each value type can define its own formatting mini-language or interpretation of the format_spec,String
28," Most built-in types support a common formatting mini-language, which is described in the next section",String
29, A format_spec field can also include nested replacement fields within it,String
30," These nested replacement fields may contain a field name, conversion flag and format specification, but deeper nesting is not allowed",String
31,  The replacement fields within the format_spec are substituted before the format_spec string is interpreted,String
32, This allows the formatting of a value to be dynamically specified,String
33, See the Format examples section for some examples,String
