content,topic,label
"In Python, all exceptions must be instances of a class that derives from BaseException",Built-in Exceptions,0
"  In a try statement with an except clause that mentions a particular class, that clause also handles any exception classes derived from that class (but not exception classes from which it is derived)",Built-in Exceptions,0
"  Two exception classes that are not related via subclassing are never equivalent, even if they have the same name",Built-in Exceptions,0
 The built-in exceptions listed below can be generated by the interpreter or built-in functions,Built-in Exceptions,0
"  Except where mentioned, they have an “associated value” indicating the detailed cause of the error",Built-in Exceptions,0
  This may be a string or a tuple of several items of information (e,Built-in Exceptions,0
g,Built-in Exceptions,0
", an error code and a string explaining the code)",Built-in Exceptions,0
  The associated value is usually passed as arguments to the exception class’s constructor,Built-in Exceptions,0
 User code can raise built-in exceptions,Built-in Exceptions,0
  This can be used to test an exception handler or to report an error condition “just like” the situation in which the interpreter raises the same exception; but beware that there is nothing to prevent user code from raising an inappropriate error,Built-in Exceptions,0
" The built-in exception classes can be subclassed to define new exceptions; programmers are encouraged to derive new exceptions from the Exception class or one of its subclasses, and not from BaseException",Built-in Exceptions,0
  More information on defining exceptions is available in the Python Tutorial under User-defined Exceptions,Built-in Exceptions,0
" When raising a new exception while another exception is already being handled, the new exception’s __context__ attribute is automatically set to the handled exception",Built-in Exceptions,0
"  An exception may be handled when an except or finally clause, or a with statement, is used",Built-in Exceptions,0
 This implicit exception context can be supplemented with an explicit cause by using from with raise: The expression following from must be an exception or None,Built-in Exceptions,0
 It will be set as __cause__ on the raised exception,Built-in Exceptions,0
" Setting __cause__ also implicitly sets the __suppress_context__ attribute to True, so that using raise new_exc from None effectively replaces the old exception with the new one for display purposes (e",Built-in Exceptions,0
g,Built-in Exceptions,0
" converting KeyError to AttributeError), while leaving the old exception available in __context__ for introspection when debugging",Built-in Exceptions,0
 The default traceback display code shows these chained exceptions in addition to the traceback for the exception itself,Built-in Exceptions,0
 An explicitly chained exception in __cause__ is always shown when present,Built-in Exceptions,0
 An implicitly chained exception in __context__ is shown only if __cause__ is None and __suppress_context__ is false,Built-in Exceptions,0
" In either case, the exception itself is always shown after any chained exceptions so that the final line of the traceback always shows the last exception that was raised",Built-in Exceptions,0
 User code can create subclasses that inherit from an exception type,Built-in Exceptions,0
" It’s recommended to only subclass one exception type at a time to avoid any possible conflicts between how the bases handle the args attribute, as well as due to possible memory layout incompatibilities",Built-in Exceptions,0
 The following exceptions are used mostly as base classes for other exceptions,Built-in Exceptions,0
 The following exceptions are the exceptions that are usually raised,Built-in Exceptions,0
 The following exceptions are kept for compatibility with previous versions; starting from Python 3,Built-in Exceptions,0
"3, they are aliases of OSError",Built-in Exceptions,0
 The following exceptions are used as warning categories; see the Warning Categories documentation for more details,Built-in Exceptions,0
 The following are used when it is necessary to raise multiple unrelated exceptions,Built-in Exceptions,0
 They are part of the exception hierarchy so they can be handled with except like all other exceptions,Built-in Exceptions,0
" In addition, they are recognised by except*, which matches their subgroups based on the types of the contained exceptions",Built-in Exceptions,0
 The class hierarchy for built-in exceptions is:,Built-in Exceptions,0
The following sections describe the standard types that are built into the interpreter,Built-in Types,1
" The principal built-in types are numerics, sequences, mappings, classes, instances and exceptions",Built-in Types,1
 Some collection classes are mutable,Built-in Types,1
"  The methods that add, subtract, or rearrange their members in place, and don’t return a specific item, never return the collection instance itself but None",Built-in Types,1
" Some operations are supported by several object types; in particular, practically all objects can be compared for equality, tested for truth value, and converted to a string (with the repr() function or the slightly different str() function)",Built-in Types,1
  The latter function is implicitly used when an object is written by the print() function,Built-in Types,1
" Any object can be tested for truth value, for use in an if or while condition or as operand of the Boolean operations below",Built-in Types,1
" By default, an object is considered true unless its class defines either a __bool__() method that returns False or a __len__() method that returns zero, when called with the object",Built-in Types,1
" 1  Here are most of the built-in objects considered false: Operations and built-in functions that have a Boolean result always return 0 or False for false and 1 or True for true, unless otherwise stated",Built-in Types,1
 (Important exception: the Boolean operations or and and always return one of their operands,Built-in Types,1
),Built-in Types,1
" These are the Boolean operations, ordered by ascending priority: Notes: This is a short-circuit operator, so it only evaluates the second argument if the first one is false",Built-in Types,1
" This is a short-circuit operator, so it only evaluates the second argument if the first one is true",Built-in Types,1
" not has a lower priority than non-Boolean operators, so not a == b is interpreted as not (a == b), and a == not b is a syntax error",Built-in Types,1
 There are eight comparison operations in Python,Built-in Types,1
  They all have the same priority (which is higher than that of the Boolean operations),Built-in Types,1
"  Comparisons can be chained arbitrarily; for example, x < y <= z is equivalent to x < y and y <= z, except that y is evaluated only once (but in both cases z is not evaluated at all when x < y is found to be false)",Built-in Types,1
" This table summarizes the comparison operations: Objects of different types, except different numeric types, never compare equal",Built-in Types,1
" The == operator is always defined but for some object types (for example, class objects) is equivalent to is",Built-in Types,1
" The <, <=, > and >= operators are only defined where they make sense; for example, they raise a TypeError exception when one of the arguments is a complex number",Built-in Types,1
 Non-identical instances of a class normally compare as non-equal unless the class defines the __eq__() method,Built-in Types,1
" Instances of a class cannot be ordered with respect to other instances of the same class, or other types of object, unless the class defines enough of the methods __lt__(), __le__(), __gt__(), and __ge__() (in general, __lt__() and __eq__() are sufficient, if you want the conventional meanings of the comparison operators)",Built-in Types,1
 The behavior of the is and is not operators cannot be customized; also they can be applied to any two objects and never raise an exception,Built-in Types,1
" Two more operations with the same syntactic priority, in and not in, are supported by types that are iterable or implement the __contains__() method",Built-in Types,1
" There are three distinct numeric types: integers, floating point numbers, and complex numbers",Built-in Types,1
"  In addition, Booleans are a subtype of integers",Built-in Types,1
  Integers have unlimited precision,Built-in Types,1
