Id,Body,Title,Tags,text,label
51314925,I'm doing an application to download all files form a Telegram channel. When downloading I receive the error message:     Anyone know how to fix this? ,How to fix the Telethon's exception BadMessageError,<python><exception><error-handling><telethon>,How to fix the Telethon's exception BadMessageError I'm doing an application to download all files form a Telegram channel. When downloading I receive the error message:     Anyone know how to fix this? ,0
35851782,"Consider the following example:    The tuple is the correct way to handle multiple exception types. Using a list for the multiple exception types causes neither to be handled.  I am wondering why Python syntax requires a tuple for multiple exception types.  The docs say that it uses a tuple, so perhaps it is just ""never was implemented using a list instead of a tuple.""  It seems reasonable to me that a list could also be used in this situation, conceptually at least.  Is there any reason why Python uses a tuple instead of a list for this situation? ","Why does handling multiple exceptions require a tuple, but not a list?",<python><python-2.7><exception><error-handling>,"Why does handling multiple exceptions require a tuple, but not a list? Consider the following example:    The tuple is the correct way to handle multiple exception types. Using a list for the multiple exception types causes neither to be handled.  I am wondering why Python syntax requires a tuple for multiple exception types.  The docs say that it uses a tuple, so perhaps it is just ""never was implemented using a list instead of a tuple.""  It seems reasonable to me that a list could also be used in this situation, conceptually at least.  Is there any reason why Python uses a tuple instead of a list for this situation? ",0
52354405,"I was trying to catch a specific exception:    But instead of going into the if loop, I am getting:    Why is this happening? How can I catch a specific exception? ",Catch specific errors in python,<python><django><python-3.x><exception><error-handling>,"Catch specific errors in python I was trying to catch a specific exception:    But instead of going into the if loop, I am getting:    Why is this happening? How can I catch a specific exception? ",0
12550379,"As far as I know, most of the errnos returned by python's exceptions are the same with the errnos in ""linux/errno.h"". But at sometimes, things are not like what I expect:  For example, when a socket connection throw a socket.timeout exception, the errno it returned should be 110, however, it's errno is always :    Secondly, when a address-related exception is throwed, the errno will be negative, but the errnos in linux/errno.h are between 1 and 133:    In this case, will print -5.  I'm so confused of all of these errnos. :( ","Are errnos contained by python's exceptions the same with the errnos in ""linux/errno.h""?",<python><linux><sockets><exception><error-handling>,"Are errnos contained by python's exceptions the same with the errnos in ""linux/errno.h""? As far as I know, most of the errnos returned by python's exceptions are the same with the errnos in ""linux/errno.h"". But at sometimes, things are not like what I expect:  For example, when a socket connection throw a socket.timeout exception, the errno it returned should be 110, however, it's errno is always :    Secondly, when a address-related exception is throwed, the errno will be negative, but the errnos in linux/errno.h are between 1 and 133:    In this case, will print -5.  I'm so confused of all of these errnos. :( ",0
29453733,"I'm writing a program that writes data to an Excel file using the  module.  The code that opens the workbook is:    This used to work. Then I changed some stuff around in the bottom of the program (waaaaay after that line) and now it doesn't work, saying this:    This has happened when I forget to close the file before running it again (as it is trying to write to a file that's open in Excel which won't work), but I don't even have Excel open and it does this.  How can I fix this? Do I need to restart or something?  Also, I tried to have a  loop to stop the program if the initialization doesn't work. Even with  only, without a specific exception, it still completes the program unless I kill it manually. The script basically opens the Excel file, spends a long time downloading data from the Internet, and then writing that to the Excel file. I want it to stop if the initialization doesn't work so I don't have to wait for the script to complete (it can take up to 15 minutes). I'm pretty sure that it has something to do with the fact that it says """", but I'm not familiar with all the error-fu in Python.  EDIT:  I added an  command right at the end and now it doesn't give me the first error, but a second (and much larger and scarier) one:    EDIT 2:  The part of the code that actually writes to the file is this:    If I replace all the fancy  stuff with a single    it doesn't give me the error, and seems to work fine.  This doesn't provide the functionality I need, as some columns need to be formulas whose numbers change based on the row. What in the above code is causing the  line to bug out? ",xlsxwriter module won't open/close Excel file correctly,<python><exception><error-handling><exception-handling><xlsxwriter>,"xlsxwriter module won't open/close Excel file correctly I'm writing a program that writes data to an Excel file using the  module.  The code that opens the workbook is:    This used to work. Then I changed some stuff around in the bottom of the program (waaaaay after that line) and now it doesn't work, saying this:    This has happened when I forget to close the file before running it again (as it is trying to write to a file that's open in Excel which won't work), but I don't even have Excel open and it does this.  How can I fix this? Do I need to restart or something?  Also, I tried to have a  loop to stop the program if the initialization doesn't work. Even with  only, without a specific exception, it still completes the program unless I kill it manually. The script basically opens the Excel file, spends a long time downloading data from the Internet, and then writing that to the Excel file. I want it to stop if the initialization doesn't work so I don't have to wait for the script to complete (it can take up to 15 minutes). I'm pretty sure that it has something to do with the fact that it says """", but I'm not familiar with all the error-fu in Python.  EDIT:  I added an  command right at the end and now it doesn't give me the first error, but a second (and much larger and scarier) one:    EDIT 2:  The part of the code that actually writes to the file is this:    If I replace all the fancy  stuff with a single    it doesn't give me the error, and seems to work fine.  This doesn't provide the functionality I need, as some columns need to be formulas whose numbers change based on the row. What in the above code is causing the  line to bug out? ",0
62200818,"Im just starting my python learning journey and need some help with the correct way to raise an exception.   Consider a block of code which loops thru a list and performs a task. If an exception occurs,continue with the program execution. And execute the rest of the code. At the end of the program raise the exception and system the application with non zero code. The idea is the program should continue executing all the tasks, but exit with a non 0 code for an external application to track and report.    ",what is the correct way to handle a caught exception and raise it outside of try block,<python><exception><error-handling><event-handling>,"what is the correct way to handle a caught exception and raise it outside of try block Im just starting my python learning journey and need some help with the correct way to raise an exception.   Consider a block of code which loops thru a list and performs a task. If an exception occurs,continue with the program execution. And execute the rest of the code. At the end of the program raise the exception and system the application with non zero code. The idea is the program should continue executing all the tasks, but exit with a non 0 code for an external application to track and report.    ",0
31618848,"I'm trying to do a simple error reporting system within my Django classes, but I cannot get to save a new object (from another class) if I raise a ValidationError.  Here is an example of what I want to do:    The problem is that if I raise an exception, even if it is risen after I do the h.save(), h doesn't get saved.  This makes all the sense because Django is so intelligent that shouldn't let you commit to the database if there is an error, but I can't find anywhere in the documentation where I can override this to deal with this specific situation.  ... or maybe I'm simply conceptually wrong and I have to deal with this elsewhere (I'm trying to do a robust system where others can write code for it so it should be fail-safe). ",Django: save other object before raising exception,<python><django><exception><error-handling><exception-handling>,"Django: save other object before raising exception I'm trying to do a simple error reporting system within my Django classes, but I cannot get to save a new object (from another class) if I raise a ValidationError.  Here is an example of what I want to do:    The problem is that if I raise an exception, even if it is risen after I do the h.save(), h doesn't get saved.  This makes all the sense because Django is so intelligent that shouldn't let you commit to the database if there is an error, but I can't find anywhere in the documentation where I can override this to deal with this specific situation.  ... or maybe I'm simply conceptually wrong and I have to deal with this elsewhere (I'm trying to do a robust system where others can write code for it so it should be fail-safe). ",0
36662174,"There's something weird happening with my code, I have a first function that goes like this :    So this function works perfectly when called in the main program, but when I try to call function1 in another function2, both try#2 and except#2 are executed ! Cause directory1 is created and error message 1 is printed, also my info variable equals None.  How can calling function1 in a second function mess try and except clauses ?  Thank you ! ",Try and except both executed when called by another function,<python><python-3.x><exception><error-handling>,"Try and except both executed when called by another function There's something weird happening with my code, I have a first function that goes like this :    So this function works perfectly when called in the main program, but when I try to call function1 in another function2, both try#2 and except#2 are executed ! Cause directory1 is created and error message 1 is printed, also my info variable equals None.  How can calling function1 in a second function mess try and except clauses ?  Thank you ! ",0
52307055,"I have two functions. function ""main"" is calling to function ""submain"". ""submain"" function contains try-catch block and return some value.  If ""submain"" executes successfully then it returns some value which i will display to end user directly.   If i get an exception then i have to prepare one user friendly message and print that. But to do that i need to know whether returned value is exception or not.   How can i check that returned value in exception or valid result?   ",python: How to check that returned value is exception or not,<python><exception><error-handling><return><try-catch>,"python: How to check that returned value is exception or not I have two functions. function ""main"" is calling to function ""submain"". ""submain"" function contains try-catch block and return some value.  If ""submain"" executes successfully then it returns some value which i will display to end user directly.   If i get an exception then i have to prepare one user friendly message and print that. But to do that i need to know whether returned value is exception or not.   How can i check that returned value in exception or valid result?   ",0
64404157,"I am trying to use Twisted and Python together. I need to export exceptions and errors to a file rather than the console incase anything unexpected pops up during runtime and I happen to miss it, however redirecting stderr doesn't seem to work. The error still shows up in the console and it doesn't write to the file (although the file is created). Here is a minimal example:  What am I doing wrong? ",Twisted and writing exceptions to stderr,<python><exception><error-handling><twisted><stderr>,"Twisted and writing exceptions to stderr I am trying to use Twisted and Python together. I need to export exceptions and errors to a file rather than the console incase anything unexpected pops up during runtime and I happen to miss it, however redirecting stderr doesn't seem to work. The error still shows up in the console and it doesn't write to the file (although the file is created). Here is a minimal example:  What am I doing wrong? ",0
